parameter,value,lower,upper,distance_to_lower,distance_to_upper,status
ktx__,0.017586144384124307,0.004333333333333333,0.039,0.6375198451503488,0.36248015484965124,not within 5% of bound
kmat__,0.004895304993628992,0.00139,0.01251,0.5729832294164798,0.42701677058352017,not within 5% of bound
kx__,1.3392671165629565e-06,3.333333333333333e-07,3e-06,0.632950695808818,0.36704930419118204,not within 5% of bound
krev__,8.099978461104154e-07,9e-08,8.100000000000001e-07,0.9999987897793852,1.2102206148225589e-06,near upper bound
krep__,3.336393493901e-06,3.3333333333333337e-06,3.0000000000000004e-05,0.0004176300553346446,0.9995823699446653,near lower bound
