parameter,value,lower,upper,distance_to_lower,distance_to_upper,status
ktx__,0.019072538201002232,0.004333333333333333,0.039,0.6744474171682879,0.3255525828317121,not within 5% of bound
kmat__,0.004629595756873021,0.00139,0.01251,0.5475843571128369,0.452415642887163,not within 5% of bound
kx__,1.151426999095473e-06,3.333333333333333e-07,3e-06,0.5641727947915984,0.43582720520840157,not within 5% of bound
krev__,8.099999990292164e-07,9e-08,8.100000000000001e-07,0.9999999994545401,5.454598495717089e-10,near upper bound
krep__,3.3333552437352162e-06,3.3333333333333337e-06,3.0000000000000004e-05,2.991546258004865e-06,0.999997008453742,near lower bound
