condition,raw_rmse,normalized_rmse,n_fit_points
fig2d_50nM_I0,107.86040619543185,0.6609674756972083,449
fig2d_50nM_I1,22.638730638022494,0.04769768267608962,153
fig2d_25nM_I1,18.99365916909682,0.039951860089949304,162
fig2d_12p5nM_I1,18.74994580057016,0.03953934465058063,168
fig2d_6p25nM_I1,11.281145379171978,0.023933909860637023,176
fig2d_2p5nM_I1,17.156099904818483,0.03610874636864762,352
